index,marca,nombre,pegatina,anyo,km,combustible,cv,transmision,unico_dueno,ubicacion,longitud,anchura,altura,peso,maletero,deposito,velocidad_maxima,0a100,consumo,emisiones,numero_llaves,numero_extras,precio
3287,Audi,Audi Q2,C,2018,113687,Gasolina,150,AUTO,True,Gipuzkoa,4.19,1.79,1.51,1355,1050,-,212,8.5,5.4,123,2,5,20850
3288,Volkswagen,Volkswagen Passat,B,2009,138598,Diésel,140,MANUAL,False,Girona,4.77,1.82,1.52,1596,1716,-,201,10.5,6.1,159,2,5,8650
3289,KIA,KIA Sportage,B,2015,213371,Diésel,115,MANUAL,True,Barcelona,4.44,1.86,1.63,1490,1353,-,173,12.3,5.2,135,2,5,10950
3290,Renault,Renault Clio,C,2021,26206,Diésel,100,MANUAL,True,Alicante,4.05,1.8,1.44,1178,1069,-,180,12.2,4.1,109,2,5,13347
3291,BMW,BMW Serie 3,C,2007,165950,Gasolina,170,MANUAL,False,Barcelona,4.58,1.78,1.4,1435,,-,230,8.1,6.3,151,2,5,11490
3292,Renault,Renault Mégane,B,2011,197861,Diésel,110,MANUAL,False,Santander,4.56,1.8,1.5,1265,1600,-,190,11.1,4.4,114,2,5,6400
3293,Citroën,Citroën C3 Aircross,C,2018,92816,Diésel,99,MANUAL,False,Sevilla,4.15,1.82,1.64,1203,1289,-,175,11.5,4.0,104,1,5,13190
3294,KIA,KIA Sportage,C,2021,49103,Gasolina,132,MANUAL,False,Alicante,4.49,1.86,1.65,1490,1492,-,182,11.5,7.9,169,1,5,17272
3295,Nissan,Nissan X-TRAIL,C,2022,33889,Gasolina,160,AUTO,False,,4.69,1.82,1.74,1485,1996,-,198,11.5,7.5,166,2,5,25890
3296,BMW,BMW Serie 1,C,2017,121568,Gasolina,340,AUTO,False,Vizcaya,4.32,1.77,1.43,1525,1200,-,250,4.8,7.8,179,2,5,29900
3297,Mazda,Mazda Mazda3,ECO,2019,58736,Híbrido,122,AUTO,False,Madrid,4.46,1.8,1.44,1299,1026,-,,152.0,,,2,5,22890
3298,Fiat,Fiat 500L,C,2019,50724,Gasolina,95,MANUAL,False,Barcelona,4.24,1.78,1.66,1245,1480,-,176,13.4,6.9,156,2,5,13690
3299,Jeep,Jeep Compass,C,2020,84217,Gasolina,150,AUTO,False,,4.39,1.82,1.65,1505,1251,-,199,9.2,5.5,175,2,5,19360
3300,KIA,KIA Ceed,C,2018,75057,Gasolina,100,MANUAL,False,Almería,4.31,1.78,1.47,1179,1318,-,183,12.7,6.0,138,2,5,12990
3301,Seat,Seat León,C,2019,77808,Gasolina,150,AUTO,False,Castellón,4.55,1.82,1.45,1294,1470,-,215,8.3,5.2,118,2,5,14710
3302,Peugeot,Peugeot 2008,C,2016,140799,Diésel,120,MANUAL,False,,4.16,1.74,1.56,1275,1400,-,190,9.6,3.7,96,2,5,10300
3303,Hyundai,Hyundai Tucson,ECO,2023,24346,Híbrido,230,AUTO,True,Madrid,4.5,1.87,1.65,1564,1795,-,193,8.0,5.6,127,1,5,34900
